id,Date_earliest,Nationality_Summed_Points,Nationality_count,Summed_Points,artist_count,Points (Total),song_count,Artists,Date,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence
7mpdNiaQvygj2rHoxkzMfa,2023-05-22,17085.8,1,109.0,1,1059,8,ENHYPEN,2023-05-29,0.795,0.781,-4647.0,0.141,0.285,0.0,0.687
7j4OmvkjRz0PrjFADlHfQx,2021-10-11,26937.0,1,208.0,1,2347,36,Adele,2023-05-29,0.603,0.67,-3882.0,0.025,0.004,0.0,0.446
2mnXxnrX5vCGolNkaFvVeM,2022-12-02,17478.733333313998,2,3660.0,2,59320,358,"Arcángel, Bad Bunny",2023-05-29,0.887,0.234,-14.52,0.178,0.111,0.67,0.197
5w40ZYhbBMAlHYNDaVJIUu,2023-04-14,195570.5,1,5546.0,1,5720,39,Post Malone,2023-05-29,0.498,0.897,-4907.0,0.045,0.001,0.0,0.373
2CeKVsFFXG4QzA415QygGb,2022-09-14,5896.4,1,334.0,1,27653,181,Feid,2023-05-29,0.865,0.573,-5501.0,0.068,0.086,0.0,0.563
1FEiijYPJtyswChfcpv3p0,2022-07-24,170814.5,1,1779.0,1,10321,160,Lana Del Rey,2023-05-29,0.568,0.646,-6793.0,0.033,0.046,0.0,0.211
3p7XQpdt8Dr6oMXSvRZ9bg,2023-05-05,38218.5,1,3560.0,1,3333,25,Ed Sheeran,2023-05-29,0.793,0.52,-7457.0,0.07,0.246,0.0,0.309
0tgVpDi06FyKpA1z0VMD4v,2017-03-03,609.0,1,107.0,1,22335,178,Ed Sheeran,2023-05-29,0.599,0.448,-6312.0,0.023,0.163,0.0,0.168
1xK59OXxi2TAAAbmZK0kBL,2022-09-04,173112.5,1,0.0,1,28949,181,d4vd,2023-05-29,0.571,0.544,-10613.0,0.03,0.453,0.008,0.216
5IgjP7X4th6nMNDh4akUHb,2022-07-23,170814.5,1,552.0,1,32195,181,Chris Brown,2023-05-29,0.733,0.69,-5529.0,0.043,0.064,0.0,0.31
51FvjPEGKq2zByeeEQ43V9,2023-03-03,198144.566666667,2,448.0,2,21162,174,"Marshmello, Manuel Turizo",2023-05-29,0.775,0.677,-4703.0,0.044,0.031,0.005,0.698
7sliFe6W30tPBPh6dvZsIH,2023-05-10,196330.833333333,1,0.0,1,1809,20,Kali,2023-05-29,0.823,0.388,-10867.0,0.491,0.019,0.0,0.507
5O2P9iiztwhomNh8xkR9lJ,2020-07-23,20741.0,1,0.0,1,84,1,One Direction,2023-05-29,0.672,0.52,-7747.0,0.035,0.859,0.0,0.37
0RiRZpuVRbi7oqRdSMwhQY,2019-09-16,174788.0,2,1366.0,2,60438,362,"Post Malone, Swae Lee",2023-05-29,0.755,0.522,-4368.0,0.058,0.533,0.0,0.925
4uOBL4DDWWVx4RhYKlPbPC,2023-05-16,16967.0,1,49.0,1,1164,14,(G)I-DLE,2023-05-29,0.815,0.834,-2828.0,0.048,0.033,0.0,0.692
5wG3HvLhF6Y5KTGlK0IW3J,2022-12-02,532687.5,3,4365.0,3,29526,270,"Metro Boomin, Travis Scott, Young Thug",2023-05-29,0.571,0.549,-7.38,0.404,0.18,0.0,0.447
5jQI2r1RdgtuT8S3iG8zFC,2022-10-21,174561.5,1,9859.0,1,22756,179,Taylor Swift,2023-05-29,0.733,0.436,-10489.0,0.08,0.258,0.001,0.098
68Dni7IE4VyPkTOH9mRWHr,2022-01-04,159935.5,1,1147.0,1,14500,172,J. Cole,2023-05-29,0.69,0.521,-8492.0,0.339,0.324,0.0,0.494
6Um358vY92UBv5DloTRX9L,2022-12-27,4402.0,2,512.0,2,41458,308,"Carin Leon, Grupo Frontera",2023-05-29,0.491,0.643,-4309.0,0.044,0.187,0.0,0.779
6JIC3hbC28JZKZ8AlAqX8h,2022-04-19,67435.5,3,483.0,3,94758,543,"Elton John, Dua Lipa, PNAU",2023-05-29,0.795,0.8,-6.32,0.031,0.035,0.0,0.934
7ovUcF5uHTBRzUpB6ZOmvt,2023-04-16,332.0,1,0.0,1,3983,44,YOASOBI,2023-05-29,0.574,0.935,-2783.0,0.093,0.112,0.0,0.836
0JXXNGljqupsJaZsgSbMZV,2022-12-12,179904.5,1,31.0,1,24307,167,Miguel,2023-05-29,0.684,0.607,-8127.0,0.1,0.027,0.0,0.498
58ge6dfP91o9oXMzq3XkIS,2021-02-01,24874.0,1,360.0,1,3,2,Arctic Monkeys,2023-05-29,0.52,0.852,-5866.0,0.054,0.002,0.0,0.234
6UN73IYd0hZxLi8wFPMQij,2023-01-18,189490.5,1,0.0,1,18721,131,Coi Leray,2023-05-29,0.954,0.516,-5817.0,0.16,0.03,0.0,0.624
6l8mgVN9Xf1hiDIFGA6CTE,2023-05-20,393231.399999998,2,3208.0,2,2418,20,"Beyoncé, Kendrick Lamar",2023-05-29,0.784,0.7,-5289.0,0.04,0.011,0.0,0.204
7qEHsqek33rTcFNT9PFqLf,2019-05-17,13590.0,1,208.0,1,34440,181,Lewis Capaldi,2023-05-29,0.501,0.405,-5679.0,0.032,0.751,0.0,0.446
6dgUya35uo964z7GZXM07g,2023-01-12,189464.5,1,53.0,1,14625,138,Sabrina Carpenter,2023-05-29,0.74,0.697,-4912.0,0.034,0.027,0.0,0.732
0u2P5u6lvoDfwTYjAADbn4,2018-04-20,73378.0,2,556.0,2,23804,179,"Billie Eilish, Khalid",2023-05-29,0.351,0.296,-10109.0,0.033,0.934,0.0,0.12
3k3NWokhRRkEPhCzPmV8TW,2022-05-06,12891.599999999999,2,54.0,2,68586,362,"Bad Bunny, Bomba Estéreo",2023-05-29,0.647,0.686,-5745.0,0.041,0.08,0.0,0.268
7aRCf5cLOFN1U7kvtChY1G,2023-04-07,20762.5,1,5819.5,1,7723,53,Drake,2023-05-29,0.817,0.44,-8482.0,0.073,0.06,0.0,0.544
0IKeDy5bT9G0bA7ZixRT4A,2022-12-30,4538.0,2,580.0,2,44484,302,"Fuerza Regida, Grupo Frontera",2023-05-29,0.529,0.602,-4629.0,0.046,0.299,0.0,0.756
7MVIfkyzuUmQ716j8U7yGR,2023-02-24,9916.499999999,2,0.0,2,25330,190,"Taiu, Milo j",2023-05-29,0.838,0.708,-4668.0,0.166,0.176,0.0,0.96
1R0a2iXumgCiFb7HEZ7gUE,2017-12-02,20182.0,1,1111.0,1,153,5,Taylor Swift,2023-05-29,0.615,0.534,-6719.0,0.039,0.106,0.0,0.193
7lQ8MOhq6IN2w8EYcFNSUk,2017-11-11,19119.0,1,48.0,1,13,1,Eminem,2023-05-29,0.908,0.669,-2827.0,0.074,0.003,0.0,0.662
7yq4Qj7cqayVTp3FF9CWbm,2018-07-15,1097.0,1,51.0,1,4,2,Vance Joy,2023-05-29,0.484,0.731,-6694.0,0.038,0.431,0.0,0.51
4k6Uh1HXdhtusDW5y8Gbvy,2022-07-15,170757.5,1,168.0,1,32466,181,Steve Lacy,2023-05-29,0.686,0.494,-7093.0,0.036,0.613,0.0,0.7
5QW9K4A1gMnIi94YUxtsfM,2023-05-27,1068.0,3,0.0,3,525,9,"Sachin-Jigar, Arijit Singh, Amitabha Bhattacharya",2023-05-29,0.556,0.552,-5875.0,0.037,0.531,0.0,0.531
0CYTGMBYkwUxrj1MWDLrC5,2022-12-17,6141.066666667,1,478.666666667,1,19354,160,Feid,2023-05-29,0.743,0.831,-4042.0,0.058,0.114,0.0,0.609
1Lo0QY9cvc8sUB2vnIOxDT,2023-03-31,194455.5,1,128.0,1,2667,55,Luke Combs,2023-05-29,0.712,0.603,-5.52,0.026,0.186,0.0,0.67
76OGwb5RA9h4FxQPT33ekc,2022-08-08,7303.0,1,349.0,1,30200,181,Rosa Linn,2023-05-29,0.565,0.636,-8198.0,0.064,0.107,0.0,0.525
0pqnGHJpmpxLKifKRmU6WP,2018-07-26,46565.0,1,1800.0,1,20966,181,Imagine Dragons,2023-05-29,0.776,0.78,-4374.0,0.128,0.062,0.0,0.666
2a1o6ZejUi8U3wzzOtCOYw,2017-12-31,498.0,2,0.0,2,52,2,"Don Omar, Lucenzo",2023-05-29,0.4,0.915,-4.89,0.28,0.085,0.0,0.878
6UelLqGlWMcVH1E5c4H7lY,2019-12-13,17176.0,1,1059.0,1,23971,181,Harry Styles,2023-05-29,0.548,0.816,-4209.0,0.047,0.122,0.0,0.557
4RvWPyQ5RL0ao9LPZeSouE,2022-05-31,31871.0,1,0.0,1,9384,150,Tears For Fears,2023-05-29,0.645,0.795,-12095.0,0.053,0.347,0.004,0.535
37F0uwRSrdzkBiuj0D5UHI,2017-01-01,0.0,1,0.0,1,2565,56,The Weeknd,2023-05-29,0.706,0.505,-6923.0,0.193,0.142,0.0,0.388
0ll8uFnc0nANY35E0Lfxvg,2022-11-01,34214.0,1,0.0,1,875,26,Keane,2023-05-29,0.453,0.655,-4.22,0.026,0.079,0.0,0.368
2WfaOiMkCvy7F5fcp2zZ8L,2018-08-18,601.0,1,0.0,1,74,5,a-ha,2023-05-29,0.573,0.902,-7638.0,0.054,0.018,0.001,0.876
6I3mqTwhRpn34SLVafSH7G,2021-03-20,14048.0,1,2659.0,1,1772,17,Justin Bieber,2023-05-29,0.601,0.741,-5569.0,0.048,0.185,0.0,0.441
22skzmqfdWrjJylampe0kt,2021-12-31,638856.0,4,0.0,4,7692,424,"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",2023-05-29,0.633,0.927,-4468.0,0.084,0.027,0.0,0.88
