id,nationality_points,nationality_songs_counted,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,song_count,artists_points,artists_songs_counted
35ieKju5aLWFN5UgfJ27mL,1263419.0,14233.0,0.74,0.613,-4.88,0.145,0.258,0.004,0.473,14,50860.0,561.0
3atCD3dVosUsd3KM2yzfeC,1297031.0,14637.0,0.719,0.167,-18942.0,0.889,0.266,0.0,0.161,2,2623.0,21.0
2cKovq3l6OJjhVVDbVKOsr,1669.0,35.0,0.638,0.795,-8.45,0.302,0.004,0.001,0.31,60,37.0,5.0
2m2ZGfJcs3lHWNPzhWH3XH,43283.0,750.0,0.822,0.743,-2038.0,0.045,0.213,0.01,0.78,33,82688.0,949.0
3iq9nhbI8fcnNamxMft1uv,52968.0,577.0,0.726,0.304,-8677.0,0.131,0.839,0.0,0.813,42,33818.0,358.0
5VnDkUNyX6u5Sk0yZiP8XB,1238542.0,13939.0,0.604,0.826,-4804.0,0.043,0.008,0.15,0.241,6,0.0,0.0
76iVOVsliCHlWqKuDnCfhE,1161291.0,13117.0,0.778,0.765,-7175.0,0.128,0.139,0.027,0.642,8,172.0,2.0
3zaMCRR8g6AvyMLMcuQ73N,86236.0,1791.0,0.616,0.587,-6439.0,0.091,0.978,0.006,0.279,3,33960.0,842.0
4KXwFI9pgJLpUIAc9oSL8j,1161291.0,13117.0,0.507,0.606,-8758.0,0.452,0.185,0.0,0.202,11,123.0,1.0
5goGDc74vVREyN8al8CkPh,38657.0,328.0,0.655,0.839,-5076.0,0.443,0.005,0.0,0.55,25,386.0,2.0
5xNUR50KxswPRAvx7S163g,1787.0,42.0,0.702,0.77,-9411.0,0.128,0.006,0.001,0.235,41,478.0,22.0
7qwULjvTujatIaoWC1lu8b,1154119.0,13038.0,0.909,0.755,-2.59,0.236,0.042,0.001,0.638,8,827.0,11.0
41cpvQ2GyGb2BRdIRSsTqK,1201023.0,13535.0,0.24,0.116,-13216.0,0.033,0.877,0.001,0.094,1,63.0,1.0
5ZpjODX6OH1xZs3AOewTO6,1109670.0,12530.0,0.745,0.579,-5771.0,0.138,0.035,0.012,0.645,14,4905.0,42.0
3IkWmgGsXbsafrunwPojXO,1947.0,54.0,0.516,0.518,-10383.0,0.04,0.005,0.009,0.083,38,406.0,17.0
3cysp2UU6xmV61ZlnQsa8s,1174456.0,13252.0,0.554,0.371,-9104.0,0.036,0.853,0.0,0.246,1,8794.0,117.0
4FpfU1O7WCLBnmwu5XAFk4,1161291.0,13117.0,0.549,0.449,-13645.0,0.104,0.662,0.0,0.223,2,172.0,2.0
20gGDikkrfmLU0SAvljr8d,1161291.0,13117.0,0.909,0.755,-2.59,0.236,0.042,0.001,0.638,2,901.0,12.0
0YOXGfOvoxzAl9XkxH8eEK,1154119.0,13038.0,0.5,0.61,-8812.0,0.453,0.198,0.0,0.195,1,0.0,0.0
4YMHk2VRIQpRv4aFtRzH12,1154119.0,13038.0,0.782,0.762,-7143.0,0.095,0.139,0.019,0.689,1,0.0,0.0
0bi1T5Y9aXT4JAOOU2NLcV,1154119.0,13038.0,0.391,0.442,-13558.0,0.139,0.633,0.0,0.148,1,0.0,0.0
12SJpYZEdj4kzWZ8FPFg4Y,999181.0,11368.0,0.715,0.62,-5428.0,0.051,0.032,0.014,0.456,25,1844.0,11.0
1xndOD8CreR5ctkOv5G1LN,1082242.0,12233.0,0.91,0.754,-2573.0,0.239,0.04,0.002,0.63,11,0.0,0.0
1KAhsLqLYiqCZ1G8ljKDtB,1109670.0,12530.0,0.805,0.759,-5198.0,0.044,0.101,0.354,0.721,2,4905.0,42.0
5MbeIktglgTouqOHnVunxp,280300.0,2785.0,0.482,0.853,-4.15,0.033,0.001,0.05,0.196,1,0.0,0.0
3mNfKVgSiejiZYmFRVjNbQ,1109670.0,12530.0,0.752,0.757,-5174.0,0.049,0.23,0.139,0.716,1,4905.0,42.0
3KnLHwhRhJGuQM822JVSoI,1109670.0,12530.0,0.62,0.497,-9585.0,0.119,0.382,0.048,0.55,1,4905.0,42.0
1L3NV7VrCiuE8C5QlhdeQL,927094.0,10535.0,0.745,0.579,-5771.0,0.138,0.035,0.012,0.645,28,0.0,0.0
3tvkzvUTF0yoq3pdBi81I0,38168.0,325.0,0.663,0.846,-5226.0,0.453,0.005,0.0,0.526,5,0.0,0.0
76DNqvSyzL9VCkhlnByqLf,8007.0,270.0,0.822,0.743,-2152.0,0.045,0.236,0.035,0.744,13,0.0,0.0
6csZYoffpZ7iuSw83x2zVy,8222.0,285.0,0.913,0.788,-2889.0,0.263,0.055,0.001,0.544,8,111.0,5.0
7HdZY9UJTylIiNcSDFyUDc,36155.0,640.0,0.747,0.641,-4502.0,0.093,0.25,0.001,0.453,3,56.0,1.0
3Jo2cNQKU6Je7LVClYyJH9,1060814.0,12000.0,0.813,0.439,-7427.0,0.071,0.003,0.01,0.165,1,7168.0,122.0
0kHTkvGavvk2MjBTSUtOZx,29.0,1.0,0.599,0.734,-7568.0,0.413,0.196,0.0,0.133,4,0.0,0.0
2ri2wEE24Tm7fOJ7sGiz7P,19277.0,412.0,0.943,0.798,-4548.0,0.063,0.386,0.001,0.904,2,0.0,0.0
6xy6jNeNTYwjnKTDzMyHw2,21905.0,256.0,0.309,0.649,-8994.0,0.035,0.016,0.006,0.313,7,0.0,0.0
5zZw8cn8WKoplKaeMPSvwi,8775.0,271.0,0.424,0.259,-16509.0,0.053,0.418,0.002,0.316,1,1324.0,8.0
7sTtHHrD0zDpmzQzH3zegz,52968.0,577.0,0.455,0.292,-6792.0,0.056,0.889,0.0,0.43,7,33818.0,358.0
2gxqozTaq2NYylvS8jd57G,52968.0,577.0,0.569,0.649,-8175.0,0.482,0.451,0.0,0.441,7,33818.0,358.0
1aLNpg2kKvUncflV8xE5AA,21905.0,256.0,0.438,0.428,-14861.0,0.026,0.084,0.0,0.209,4,0.0,0.0
0md12GKBGH8ZuLG2fTfGUz,22138.0,260.0,0.551,0.643,-13091.0,0.035,0.003,0.004,0.514,1,154.0,2.0
66kQ7wr4d2LwwSjr7HXcyr,927094.0,10535.0,0.705,0.628,-5362.0,0.049,0.029,0.019,0.465,10,13.0,1.0
5zSOVwaY3sVjnmLhuEfsuf,1211.0,83.0,0.748,0.565,-5895.0,0.048,0.164,0.002,0.812,141,408.0,22.0
6ElmxV9B2mSNscEjP27M7i,34873.0,894.0,0.854,0.868,-3455.0,0.154,0.24,0.002,0.631,32,20633.0,523.0
